ID,Species,FunctionalGroup,CommonName,Bodymass (g),Bodysize (cm),Biomass (g WW/m2),Reference_Bodymass,Reference_Bodymass_Link,Reference_Bodysize,Reference_Bodysize_Link,Reference_Biomass,Reference_Biomass_Link,Observation
84,Munida gregaria,zooplankton,lobster,15.000,,,"Romero, M. C., Lovrich, G. A., Tapella, F. & Thatje, S. Feeding ecology of the crab Munida subrugosa (Decapoda: Anomura: Galatheidae) in the Beagle Channel, Argentina. J. Mar. Biol. Assoc. United Kingdom 84, 359–365 (2004).",,,,,,
85,Myriogramme sp.,basal taxa,red algae,,,,,,,,,,
86,Mytilus edulis chilensis,benthos,mussel,,,,,,,,,,
87,Myxine glutinosa,fish,fish,,,,,,,,,,
88,Nacella deaurata,benthos,limpet,15.400,,,Based on Nacella magellanica,,,,,,
89,Nacella magellanica,benthos,limpet,0.000,,,See mean_bodymass sheet for references,,,,,,
90,Nacella mytilina,benthos,limpet,15.400,,,Based on Nacella magellanica,,,,,,
91,Necromass,non-living,necromass,,,,,,,,,,
92,Nemertea,benthos,nemertean,,,,,,,,,,
93,Nereididae,benthos,polychaete,,,,,,,,,,
94,Nothogenia fastigiata,basal taxa,red algae,,,,,,,,,,
95,Notobalanus flosculus,benthos,barnacle,,,,,,,,,,
96,Notochthamalus scabrosus ,benthos,barnacle,,,,,,,,,,
97,Odontesthes nigricans,fish,fish,,,,,,,,,,
98,Oligochaeta,benthos,oligochaete,,,,,,,,,,
99,Ophiuroidea,benthos,ophiuroid,,,,,,,,,,
100,Ostracoda,zooplankton,ostracod,,,,,,,,,,
101,Pagurus comptus,benthos,crab,,,,,,,,,,
102,Paralomis granulosa,benthos,crab,1500.000,,,"Lovrich, G. A. La pesquería mixta de las centollas Lithodes santolla y Paralomis granulosa (Anomura: Lithodidae) en Tierra del Fuego, Argentina. Investig. Mar. 25, 41–57 (1997).",MANDAR MAIL A LAURA COMOGLIO // 10.3989/scimar.1999.63s1361,,,,,
103,Paranotothenia magellanica,fish,fish,0.000,,,See mean_bodymass sheet for references,,,,,,
104,Pareuthria fuscata,benthos,sea snail,,,,,,,,,,
105,Patagonotothen brevicauda brevicauda,fish,fish,0.000,,,See mean_bodymass sheet for references,,,,,,
106,Patagonotothen cornucola,fish,fish,0.000,,,See mean_bodymass sheet for references,,,,,,
107,Patagonotothen longipes,fish,fish,0.000,,,See mean_bodymass sheet for references,,,,,,
108,Patagonotothen ramsayi,fish,fish,0.000,,,See mean_bodymass sheet for references,,,,,,
109,Patagonotothen sima,fish,fish,0.000,,,See mean_bodymass sheet for references,,,,,,
110,Patagonotothen sp.,fish,fish,0.000,,,See mean_bodymass sheet for references,,,,,,
111,Patagonotothen tessellata,fish,fish,0.000,,,See mean_bodymass sheet for references,,,,,,
112,Peltarion spinosulum,benthos,crab,,,,,,,,,,
113,Perumytilus purpuratus,benthos,mussel,,,,,,,,,,
114,Phytoplankton,basal taxa,phytoplankton,,,,,,,,,,
115,Plaxiphora sp.,benthos,chiton,,,,,,,,,,
116,Polychaeta,benthos,polychaete,,,,,,,,,,
117,Polynoidae,benthos,polychaete,,,,,,,,,,
118,Polyplacophora,benthos,chiton,,,,,,,,,,
119,Polysiphonia sp.,basal taxa,red algae,,,,,,,,,,
120,Porifera,benthos,sponge,,,,,,,,,,
121,Porphyra sp.,basal taxa,red algae,,,,,,,,,,
122,Priapulida,benthos,priapulid,,,,,,,,,,
123,Pseudechinus magellanicus,benthos,sea urchin,,,,,,,,,,
124,Raja (Dipturus) chilensis,fish,fish,,,,,,,,,,
125,Rhizoclonium sp.,basal taxa,green algae,,,,,,,,,,
126,Salilota australis,fish,fish,4500.000,,,"Fiore, D. & Zangrando, A. F. J. Painted fish, eaten fish: Artistic and archaeofaunal representations in Tierra del Fuego, Southern South America. J. Anthropol. Archaeol. 25, 371–389 (2006).",peso máximo // chequear fuente original,,,,,
127,Schroederichthys bivius,fish,fish,,,,,,,,,,
128,Scytothamus fasciculatus,basal taxa,brown algae,,,,,,,,,,
129,Serpulidae,benthos,polychaete,,,,,,,,,,
130,Siphonaria lessonii,benthos,sea snail,,,,,,,,,,
131,Sphacelaria sp.,basal taxa,brown algae,,,,,,,,,,
132,Spirorbinae,benthos,polychaete,,,,,,,,,,
133,Sprattus fuegensis,fish,fish,0.000,,,See mean_bodymass sheet for references,,,,,,
134,Stromateus brasiliensis,fish,fish,,,,,,,,,,
135,Tanaidacea,benthos,tanaids,,,,,,,,,,
136,Terebellidae,benthos,polychaete,,,,,,,,,,
137,Tonicia sp.,benthos,chiton,,,,,,,,,,
138,Trailliella sp.,basal taxa,red algae,,,,,,,,,,
139,Trophon geversianus,benthos,sea snail,,,,https://doi.org/10.1016/j.seares.2014.05.002,,,,,,
140,Ulothrix sp.,basal taxa,green algae,,,,,,,,,,
141,Ulva rigida,basal taxa,green algae,,,,,,,,,,
142,Ulva sp.,basal taxa,green algae,,,,,,,,,,
143,Xymenopsis muriciformis ,benthos,sea snail,,,,,,,,,,
144,Zooplankton,zooplankton,zooplankton,,,,,,,,,,
145,Zygochlamys patagonica,benthos,clam,,,,,,,,,,
